번호,설치년도,노선,이정,방향,명칭
103,2012,서해안선,265.6,서울,당진
104,2012,서해안선,257.9,서울,용연
105,2012,서해안선,230.8,목포,고북
106,2012,서해안선,229.2,서울,갈산
107,2018,서해안선,251.6,목포,서산
108,2015,당진영덕선(당진대전),81.4,대전,금남
109,2015,서천공주선,10.8,서천,시초
110,2015,서천공주선,34.9,공주,부여
111,2013,호남선,172.1,순천,삼례
112,2012,호남선,174.4,천안,삼례
113,2012,호남선,168.4,순천,전주
114,2013,호남선,168.4,천안,전주
115,2014,호남선,162.1,천안,서전주
116,2011,호남선,142.1,천안,태인
117,2013,호남선,137.8,순천,정우
118,2013,호남선,137.8,천안,정우
119,2013,호남선,118.9,순천,내장산
120,2012,호남선,123.6,천안,내장산
121,2016,새만금포항선(익산장수),34.8,익산,마이산
122,2016,새만금포항선(익산장수),35.4,장수,마이산
123,2012,통영대전선,176.3,통영,금산
124,2012,통영대전선,179,대전,금산
125,2011,통영대전선,160.3,통영,무주
126,2021,통영대전선,157.4,대전,무주
127,2012,호남지선,11.2,논산,논산
128,2012,호남지선,9.8,회덕,논산
129,2014,새만금포항지선,2,익산,완주
130,2014,새만금포항지선,2,장수,완주
131,2011,서해안선,126.7,목포,서김제
132,2011,서해안선,126.7,서울,서김제
133,2014,서해안선,91.7,목포,줄포
134,2014,서해안선,68,목포,고창
135,2012,서해안선,211.4,서울,광천
136,2012,서해안선,186.4,서울,무창포
137,2014,서해안선,176.1,목포,춘장대
138,2012,서해안선,176.4,서울,춘장대
139,2012,서해안선,154.8,목포,서천
140,2012,서해안선,154.4,서울,서천
141,2014,광주대구선,8.8,대구,담양
142,2011,호남선,97.2,순천,장성
143,2011,호남선,97.4,천안,장성
144,2015,호남선,85.8,천안,광산
145,2012,호남선,61.5,순천,대덕
146,2015,호남선,43.2,천안,삼기
147,2015,호남선,43.2,순천,삼기
148,2016,고창담양선,14.2,고창,장성물류
149,2016,고창담양선,14.1,담양,장성물류
150,2011,고창담양선,32.4,고창,태령
151,2011,고창담양선,32.4,담양,태령
152,2011,호남선,20.3,천안,주암
153,2015,호남선,20.3,순천,주암
154,2016,남해선(순천부산),1.4,순천,순천
155,2012,남해선(순천부산),10.8,순천,광양
156,2011,남해선(순천부산),10.8,부산,광양
157,2012,서해안선,51.7,서울,영광
158,2012,서해안선,16.6,목포,몽탄
159,2012,서해안선,17.5,서울,몽탄
160,2013,남해선(영암순천),87.8,영암,벌교
161,2013,남해선(영암순천),25.3,순천,강진
162,2014,남해선(영암순천),23.4,영암,강진
163,2015,광주대구선,39.6,광주,대강
164,2012,경부선,207.4,부산,봉산
165,2012,경부선,207.1,서울,봉산
166,2011,경부선,189.9,부산,대신
167,2012,경부선,189.9,서울,대신
168,2012,경부선,178,부산,선기
169,2012,경부선,178,서울,선기
170,2012,경부선,162.6,서울,석적
171,2018,경부선,145,서울,지천
172,2011,경부선,130.5,부산,검단
173,2011,경부선,130.5,서울,검단
174,2018,경부선,92.7,부산,북안
175,2018,경부선,92.2,서울,북안
176,2022,대구외곽순환선,9.97,달서,칠곡
177,2022,대구외곽순환선,12.3,동대구,칠곡
178,2022,대구외곽순환선,31.28,달서,봉무
179,2022,대구외곽순환선,31.46,동대구,봉무
180,2012,중앙선,166.8,부산,안평
181,2012,중앙선,166.8,춘천,안평
182,2011,중앙선,136.8,부산,명곡
183,2011,중앙선,136.8,춘천,명곡
184,2015,중앙선,115.3,춘천,읍내
185,2012,새만금포항선(대구포항),25.5,포항,화산
186,2015,광주대구선,111.79,광주,남상
187,2015,광주대구선,115.49,대구,남상
188,2015,광주대구선,151.14,광주,쌍림
189,2015,광주대구선,157.76,대구,고령
190,2015,중앙선,210.4,춘천,보문
191,2015,중앙선,198.6,부산,풍산
192,2013,중앙선,243.8,부산,죽령
193,2013,중앙선,243.8,춘천,죽령
194,2012,중부내륙선,118.5,내서,아포
195,2012,중부내륙선,120.2,양평,선산
196,2014,중부내륙선,106,내서,오봉
197,2012,중부내륙선,55.6,양평,개진
198,2016,당진영덕선(청주영덕),111.8,영덕,삼춘
199,2016,당진영덕선(청주영덕),123.4,청주,하화
200,2016,당진영덕선(청주영덕),145.3,영덕,묵계
201,2016,당진영덕선(청주영덕),169.4,청주,지품
202,2016,당진영덕선(청주영덕),173.3,영덕,수암
203,2017,부산외곽순환선,47.7,기장,일광
204,2017,부산외곽순환선,47.8,창원,일광
205,2016,남해선(순천부산),153.8,순천,김해
206,2016,남해선(순천부산),153.8,부산,김해
207,2014,남해선(순천부산),126,부산,북창원
208,2011,남해선(순천부산),141.2,부산,진례
209,2011,남해선(순천부산),141.7,순천,진례
210,2011,남해1지선,15.3,산인,창원
211,2011,남해1지선,15.3,창원,창원
212,2011,남해선(순천부산),49.8,순천,곤양
213,2011,남해선(순천부산),49.8,부산,곤양
214,2013,남해선(순천부산),85.8,순천,지수
215,2012,남해선(순천부산),86.1,부산,지수
216,2015,통영대전선,121.1,통영,서하
217,2015,통영대전선,120.1,하남,서하
218,2012,통영대전선,101.7,통영,수동
219,2014,통영대전선,101.7,하남,수동
220,2012,통영대전선,90.8,통영,금서
221,2015,통영대전선,90.8,하남,금서
222,2014,통영대전선,57.3,하남,진주
223,2014,통영대전선,57.3,통영,진주
224,2014,울산선,4,언양,울산
225,2012,울산선,4,울산,울산
226,2011,중부내륙선,51.2,창원,현풍
227,2014,중부내륙선,34,양평,창녕
228,2015,중부내륙선,36,창원,창녕
229,2012,통영대전선,39.8,통영,금곡
230,2015,통영대전선,39.6,하남,금곡
231,2015,통영대전선,16,통영,고성
232,2014,통영대전선,16,하남,고성
233,2018,경부선,61.8,서울,내남
234,2018,경부선,43.2,부산,언양
235,2012,경부선,37.5,서울,삼남
236,2015,경부선,13.8,부산,양산
237,2014,경부선,13.7,서울,양산
