장기요양기관내역,,,,,,,,,,
,,,,,,,,,,
연번,장기요양기관,급여종류,평가결과,정원,현원,잔여,대기,방문목욕차량,주소,전화번호
1,파랑새노인건강센터,치매전담실나형1실,"A (최우수)
2025
정기평가",0,0,0,0,, 부산광역시 영도구 와치로  78 (청학동),051-412-5422
2,파랑새노인건강센터,치매전담실나형2실,"A (최우수)
2025
정기평가",0,0,0,0,, 부산광역시 영도구 와치로  78 (청학동),051-412-5422
3,혜원영도구노인복지센터,주야간보호,"A (최우수)
2023
정기평가",19,16,3,0,, 부산광역시 영도구 절영로29번길  14 (대교동2가),051-417-6344
4,영도주간보호센터,주야간보호,"C (양호)
2024
정기평가",81,67,14,0,," 부산광역시 영도구 중리로  35 101호, 201호 (동삼동, 영도빌딩)",051-405-7888
5,다사랑장기요양기관,주야간보호,"C (양호)
2024
정기평가",31,27,4,0,, 부산광역시 영도구 태종로  417 6층 (청학동),051-404-0676
6,선한노인복지센터,주야간보호,"C (양호)
2023
정기평가",28,25,3,0,," 부산광역시 영도구 꿈나무길  60 3층 (영선동1가, 정원빌딩)",051-415-5552
7,영도구 효 어르신 데이케어센터,주야간보호,"C (양호)
2024
정기평가",64,61,3,0,, 부산광역시 영도구 꿈나무길  17 (영선동1가),051-416-9992
8,엘림재가복지센터,주야간보호,"E (미흡)
2024
정기평가",9,6,3,0,, 부산광역시 영도구 동삼로108번길  7 (동삼동),051-403-2770
9,봉봉재활주간보호센터,주야간보호,신설기관,35,35,3,0,, 부산광역시 영도구 와치로  235 1층 (동삼동),051-404-1233
10,편한세상실버센터 주야간보호,주야간보호,신설기관,30,0,0,0,, 부산광역시 영도구 와치로3번길  20 (청학동),051-414-8896
11,강남주간보호센터,주야간보호,신설기관,20,14,6,0,, 부산광역시 영도구 꿈나무길  183 2~3층 (영선동2가),051-711-3069
12,부산사랑노인복지센터주식회사,방문간호,"D (보통)
2023
정기평가",-,-,-,-,," 부산광역시 영도구 태종로  382 2층 (청학동, 동구빌딩)",051-853-2323
13,(주)사랑나눔복지센터,방문요양,"A (최우수)
2023
정기평가",-,-,-,-,, 부산광역시 영도구 한사랑길  114 (영선동1가),051-412-3315
14,(주)참사랑재가복지센터,방문요양,"A (최우수)
2024
정기평가",-,-,-,-,," 부산광역시 영도구 태종로  519 1층102호 (동삼동, 조은아크로빌)",051-403-9944
15,가람노인복지센터,방문요양,"A (최우수)
2023
정기평가",-,-,-,-,," 부산광역시 영도구 한결길  25 102호,103호 (봉래동3가)",051-412-8889
16,(주)금잔디복지센터,방문요양,"A (최우수)
2023
정기평가",-,-,-,-,, 부산광역시 영도구 동삼로50번길  18 (동삼동),051-404-2420
17,순풍방문요양센터,방문요양,"A (최우수)
2024
정기평가",-,-,-,-,, 부산광역시 영도구 청학로8번길  6 2층 (청학동),051-418-3242
18,함께재가복지센터,방문요양,"A (최우수)
2023
정기평가",-,-,-,-,, 부산광역시 영도구 절영로  161 2호 (영선동4가),051-416-8302
19,신일재가복지센터,방문요양,"A (최우수)
2023
정기평가",-,-,-,-,," 부산광역시 영도구 상리로  63-4 (동삼동, 동삼주공아파트상가 202호)",070-4111-0055
20,희망영도노인복지센터,방문요양,"A (최우수)
2023
정기평가",-,-,-,-,, 부산광역시 영도구 절영로  97 (영선동3가),051-412-1999
21,상리노인복지센터,방문요양,"A (최우수)
2023
정기평가",-,-,-,-,, 부산광역시 영도구 상리로  63-16 (동삼동),051-711-7573
22,(주)윤정은빛종합복지센터,방문요양,"A (최우수)
2024
정기평가",-,-,-,-,, 부산광역시 영도구 남항로  48 2층 (영선동2가),051-417-1113
23,㈜금빛종합복지센터,방문요양,"A (최우수)
2024
정기평가",-,-,-,-,, 부산광역시 영도구 영선대로  47-1 2층 (영선동3가),051-417-0909
24,참 재가복지센터,방문요양,"A (최우수)
2024
정기평가",-,-,-,-,, 부산광역시 영도구 청학동로  50 1층 (청학동),051-414-5295
25,(주)두레재가센터,방문요양,"A (최우수)
2024
정기평가",-,-,-,-,," 부산광역시 영도구 태종로  39 1205호 (대교동1가, 영도해안루미너스오피스텔)",051-403-6588
26,봉산재가복지센터,방문요양,"A (최우수)
2024
정기평가",-,-,-,-,, 부산광역시 영도구 하나길  746 (봉래동4가),051-415-1033
27,샬롬재가복지센터,방문요양,"A (최우수)
2023
정기평가",-,-,-,-,, 부산광역시 영도구 절영로  126 (영선동3가),051-416-8926
28,효사랑재가복지센터,방문요양,"B (우수)
2023
정기평가",-,-,-,-,, 부산광역시 영도구 일산봉로  64 201호 (청학동),051-414-3588
29,섬김이재가노인복지센터,방문요양,"B (우수)
2023
정기평가",-,-,-,-,, 부산광역시 영도구 와치로  8 (청학동),051-413-3500
30,평화재가복지센터,방문요양,"B (우수)
2024
정기평가",-,-,-,-,, 부산광역시 영도구 태종로  387 2층 (청학동),051-414-1109
31,가화재가노인복지센터,방문요양,"B (우수)
2024
정기평가",-,-,-,-,, 부산광역시 영도구 동백꽃길  4 (봉래동4가),051-415-2777
32,안정재가노인복지센터,방문요양,"B (우수)
2024
정기평가",-,-,-,-,, 부산광역시 영도구 참샘길  109 (신선동1가),051-416-8291
33,다사랑장기요양기관,방문요양,"B (우수)
2024
정기평가",-,-,-,-,, 부산광역시 영도구 태종로  417 6층 (청학동),051-404-0676
34,절영재가장기요양기관,방문요양,"B (우수)
2024
정기평가",-,-,-,-,," 부산광역시 영도구 함지로  33-10 (동삼동, 도개공 아파트)",051-404-5530
35,로뎀재가노인복지센터,방문요양,"B (우수)
2023
정기평가",-,-,-,-,, 부산광역시 영도구 태종로  356 (청학동),051-414-5279
36,늘봄재가복지센터,방문요양,"B (우수)
2023
정기평가",-,-,-,-,, 부산광역시 영도구 절영로  504-12 상가동201호 (동삼동),051-403-1337
37,고운손재가복지센터,방문요양,"B (우수)
2023
정기평가",-,-,-,-,, 부산광역시 영도구 동삼남로31번길  3 1층 (동삼동),051-403-4464
38,와치노인복지센터,방문요양,"B (우수)
2023
정기평가",-,-,-,-,, 부산광역시 영도구 함지로79번길  76 (동삼동),051-403-4200
39,편한방문요양센터,방문요양,"B (우수)
2024
정기평가",-,-,-,-,, 부산광역시 영도구 영도새싹길  20 (신선동1가),051-255-6405
40,로뎀나무노인복지센터,방문요양,"B (우수)
2023
정기평가",-,-,-,-,," 부산광역시 영도구 태종로  393 상가동201호 (청학동, 원우아파트)",051-418-8566
41,(주)화랑사회서비스복지센터,방문요양,"B (우수)
2024
정기평가",-,-,-,-,, 부산광역시 영도구 태종로  75 3층 (대교동1가),051-418-6424
42,건강재가복지센터,방문요양,"C (양호)
2024
정기평가",-,-,-,-,," 부산광역시 영도구 태종로  424 (청학동, 동창약국 2층)",051-417-1761
43,동삼장기요양기관,방문요양,"C (양호)
2023
정기평가",-,-,-,-,," 부산광역시 영도구 상리로  30 (동삼동, 동삼사회복지관 1층)",051-405-2133
44,명봉재가복지센터,방문요양,"C (양호)
2023
정기평가",-,-,-,-,, 부산광역시 영도구 상리로  63-4 7703동207호 (동삼동),051-403-7051
45,선한노인복지센터,방문요양,"D (보통)
2016
수시평가",-,-,-,-,," 부산광역시 영도구 꿈나무길  60 3층 (영선동1가, 정원빌딩)",051-415-5552
46,부산사랑노인복지센터주식회사,방문요양,"D (보통)
2023
정기평가",-,-,-,-,," 부산광역시 영도구 태종로  382 2층 (청학동, 동구빌딩)",051-853-2323
47,더나은 재가복지센터,방문요양,"D (보통)
2024
정기평가",-,-,-,-,, 부산광역시 영도구 대평로  9 3층 (대평동1가),051-413-6513
48,스마일노인복지센터,방문요양,"D (보통)
2023
정기평가",-,-,-,-,, 부산광역시 영도구 일산봉로  84 302호 (청학동),051-711-0182
49,다함실버재가복지센터,방문요양,신설기관,-,-,-,-,," 부산광역시 영도구 절영로42번길  1 4층 (남항동1가, 고연빌딩)",051-414-7511
50,바른재가노인복지센터,방문요양,신설기관,-,-,-,-,," 부산광역시 영도구 태종로  107 1511호 (영선동1가, 오션트라움)",070-4007-4999
